Front;Back;LessonID;TopicTags;Family
caught;caught;3;auto_frequency,source_google,auto_no_translation;caught
marked;marked;4;auto_frequency,source_google,auto_no_translation;marked
driven;driven;5;auto_frequency,source_google,auto_no_translation;driven
measured;measured;6;auto_frequency,source_google,auto_no_translation;measured
medline;medline;7;auto_frequency,source_google,auto_no_translation;medline
agreements;agreements;8;auto_frequency,source_google,auto_no_translation;agreements
considering;considering;9;auto_frequency,source_google,auto_no_translation;considering
marshall;marshall;10;auto_frequency,source_google,auto_no_translation;marshall
massage;massage;11;auto_frequency,source_google,auto_no_translation;massage
closing;closing;12;auto_frequency,source_google,auto_no_translation;closing
tampa;tampa;1;auto_frequency,source_google,auto_no_translation;tampa
susan;susan;2;auto_frequency,source_google,auto_no_translation;susan
ing;ing;3;auto_frequency,source_google,auto_no_translation;ing
ks;ks;4;auto_frequency,source_google,auto_no_translation;ks
adams;adams;5;auto_frequency,source_google,auto_no_translation;adams
python;python;6;auto_frequency,source_google,auto_no_translation;python
alex;alex;7;auto_frequency,source_google,auto_no_translation;alex
bang;bang;8;auto_frequency,source_google,auto_no_translation;bang
villa;villa;9;auto_frequency,source_google,auto_no_translation;villa
columns;columns;10;auto_frequency,source_google,auto_no_translation;columns
disorders;disorders;11;auto_frequency,source_google,auto_no_translation;disorders
bugs;bugs;12;auto_frequency,source_google,auto_no_translation;bugs
hamilton;hamilton;1;auto_frequency,source_google,auto_no_translation;hamilton
ftp;ftp;2;auto_frequency,source_google,auto_no_translation;ftp
cookies;cookies;3;auto_frequency,source_google,auto_no_translation;cookies
tutorial;tutorial;4;auto_frequency,source_google,auto_no_translation;tutorial
med;med;5;auto_frequency,source_google,auto_no_translation;med
engineers;engineers;6;auto_frequency,source_google,auto_no_translation;engineers
cruises;cruises;7;auto_frequency,source_google,auto_no_translation;cruises
holder;holder;8;auto_frequency,source_google,auto_no_translation;holder
proposals;proposals;9;auto_frequency,source_google,auto_no_translation;proposals
moderator;moderator;10;auto_frequency,source_google,auto_no_translation;moderator
sw;sw;11;auto_frequency,source_google,auto_no_translation;sw
tutorials;tutorials;12;auto_frequency,source_google,auto_no_translation;tutorials
portugal;portugal;1;auto_frequency,source_google,auto_no_translation;portugal
lawrence;lawrence;2;auto_frequency,source_google,auto_no_translation;lawrence
roman;roman;3;auto_frequency,source_google,auto_no_translation;roman
duties;duties;4;auto_frequency,source_google,auto_no_translation;duties
erotic;erotic;5;auto_frequency,source_google,auto_no_translation;erotic
collectables;collectables;6;auto_frequency,source_google,auto_no_translation;collectables
dragon;dragon;7;auto_frequency,source_google,auto_no_translation;dragon
brings;brings;8;auto_frequency,source_google,auto_no_translation;brings
hd;hd;9;auto_frequency,source_google,auto_no_translation;hd
governments;governments;10;auto_frequency,source_google,auto_no_translation;governments
purchasing;purchasing;11;auto_frequency,source_google,auto_no_translation;purchasing
scripts;scripts;12;auto_frequency,source_google,auto_no_translation;scripts
abc;abc;1;auto_frequency,source_google,auto_no_translation;abc
stereo;stereo;2;auto_frequency,source_google,auto_no_translation;stereo
appointed;appointed;3;auto_frequency,source_google,auto_no_translation;appointed
dealing;dealing;4;auto_frequency,source_google,auto_no_translation;dealing
airlines;airlines;5;auto_frequency,source_google,auto_no_translation;airlines
livecam;livecam;6;auto_frequency,source_google,auto_no_translation;livecam
jay;jay;7;auto_frequency,source_google,auto_no_translation;jay
trips;trips;8;auto_frequency,source_google,auto_no_translation;trips
sides;sides;9;auto_frequency,source_google,auto_no_translation;sides
turns;turns;10;auto_frequency,source_google,auto_no_translation;turns
descriptions;descriptions;11;auto_frequency,source_google,auto_no_translation;descriptions
cache;cache;12;auto_frequency,source_google,auto_no_translation;cache
oracle;oracle;1;auto_frequency,source_google,auto_no_translation;oracle
er;er;2;auto_frequency,source_google,auto_no_translation;er
matthew;matthew;3;auto_frequency,source_google,auto_no_translation;matthew
lease;lease;4;auto_frequency,source_google,auto_no_translation;lease
productions;productions;5;auto_frequency,source_google,auto_no_translation;productions
aviation;aviation;6;auto_frequency,source_google,auto_no_translation;aviation
hobbies;hobbies;7;auto_frequency,source_google,auto_no_translation;hobbies
console;console;8;auto_frequency,source_google,auto_no_translation;console
commands;commands;9;auto_frequency,source_google,auto_no_translation;commands
jr;jr;10;auto_frequency,source_google,auto_no_translation;jr
telecommunications;telecommunications;11;auto_frequency,source_google,auto_no_translation;telecommunications
achieved;achieved;12;auto_frequency,source_google,auto_no_translation;achieved
injuries;injuries;1;auto_frequency,source_google,auto_no_translation;injuries
shipped;shipped;2;auto_frequency,source_google,auto_no_translation;shipped
bestiality;bestiality;3;auto_frequency,source_google,auto_no_translation;bestiality
seats;seats;4;auto_frequency,source_google,auto_no_translation;seats
approaches;approaches;5;auto_frequency,source_google,auto_no_translation;approaches
biz;biz;6;auto_frequency,source_google,auto_no_translation;biz
voltage;voltage;7;auto_frequency,source_google,auto_no_translation;voltage
anthony;anthony;8;auto_frequency,source_google,auto_no_translation;anthony
nintendo;nintendo;9;auto_frequency,source_google,auto_no_translation;nintendo
loading;loading;10;auto_frequency,source_google,auto_no_translation;loading
stamps;stamps;11;auto_frequency,source_google,auto_no_translation;stamps
appeared;appeared;12;auto_frequency,source_google,auto_no_translation;appeared
franklin;franklin;1;auto_frequency,source_google,auto_no_translation;franklin
vinyl;vinyl;2;auto_frequency,source_google,auto_no_translation;vinyl
highlights;highlights;3;auto_frequency,source_google,auto_no_translation;highlights
designers;designers;4;auto_frequency,source_google,auto_no_translation;designers
melbourne;melbourne;5;auto_frequency,source_google,auto_no_translation;melbourne
imaging;imaging;6;auto_frequency,source_google,auto_no_translation;imaging
betting;betting;7;auto_frequency,source_google,auto_no_translation;betting
scientists;scientists;8;auto_frequency,source_google,auto_no_translation;scientists
wyoming;wyoming;9;auto_frequency,source_google,auto_no_translation;wyoming
blackjack;blackjack;10;auto_frequency,source_google,auto_no_translation;blackjack
argentina;argentina;11;auto_frequency,source_google,auto_no_translation;argentina
thongs;thongs;12;auto_frequency,source_google,auto_no_translation;thongs
gcc;gcc;1;auto_frequency,source_google,auto_no_translation;gcc
volunteers;volunteers;2;auto_frequency,source_google,auto_no_translation;volunteers
ringtone;ringtone;3;auto_frequency,source_google,auto_no_translation;ringtone
finland;finland;4;auto_frequency,source_google,auto_no_translation;finland
morgan;morgan;5;auto_frequency,source_google,auto_no_translation;morgan
derived;derived;6;auto_frequency,source_google,auto_no_translation;derived
honor;honor;7;auto_frequency,source_google,auto_no_translation;honor
asp;asp;8;auto_frequency,source_google,auto_no_translation;asp
oriented;oriented;9;auto_frequency,source_google,auto_no_translation;oriented
eagle;eagle;10;auto_frequency,source_google,auto_no_translation;eagle
desktops;desktops;11;auto_frequency,source_google,auto_no_translation;desktops
columbus;columbus;12;auto_frequency,source_google,auto_no_translation;columbus
workshops;workshops;1;auto_frequency,source_google,auto_no_translation;workshops
postage;postage;2;auto_frequency,source_google,auto_no_translation;postage
represented;represented;3;auto_frequency,source_google,auto_no_translation;represented
mortgages;mortgages;4;auto_frequency,source_google,auto_no_translation;mortgages
dial;dial;5;auto_frequency,source_google,auto_no_translation;dial
responsibilities;responsibilities;6;auto_frequency,source_google,auto_no_translation;responsibilities
investors;investors;7;auto_frequency,source_google,auto_no_translation;investors
par;par;8;auto_frequency,source_google,auto_no_translation;par
maker;maker;9;auto_frequency,source_google,auto_no_translation;maker
picks;picks;10;auto_frequency,source_google,auto_no_translation;picks
vacations;vacations;11;auto_frequency,source_google,auto_no_translation;vacations
semester;semester;12;auto_frequency,source_google,auto_no_translation;semester
calculated;calculated;1;auto_frequency,source_google,auto_no_translation;calculated
cumshot;cumshot;2;auto_frequency,source_google,auto_no_translation;cumshot
fetish;fetish;3;auto_frequency,source_google,auto_no_translation;fetish
applies;applies;4;auto_frequency,source_google,auto_no_translation;applies
casinos;casinos;5;auto_frequency,source_google,auto_no_translation;casinos
apache;apache;6;auto_frequency,source_google,auto_no_translation;apache
filters;filters;7;auto_frequency,source_google,auto_no_translation;filters
incorporated;incorporated;8;auto_frequency,source_google,auto_no_translation;incorporated
nv;nv;9;auto_frequency,source_google,auto_no_translation;nv
notebooks;notebooks;10;auto_frequency,source_google,auto_no_translation;notebooks
lounge;lounge;11;auto_frequency,source_google,auto_no_translation;lounge
algorithm;algorithm;12;auto_frequency,source_google,auto_no_translation;algorithm
semi;semi;1;auto_frequency,source_google,auto_no_translation;semi
coins;coins;2;auto_frequency,source_google,auto_no_translation;coins
andy;andy;3;auto_frequency,source_google,auto_no_translation;andy
valentine;valentine;4;auto_frequency,source_google,auto_no_translation;valentine
hilton;hilton;5;auto_frequency,source_google,auto_no_translation;hilton
ken;ken;6;auto_frequency,source_google,auto_no_translation;ken
proteins;proteins;7;auto_frequency,source_google,auto_no_translation;proteins
su;su;8;auto_frequency,source_google,auto_no_translation;su
exp;exp;9;auto_frequency,source_google,auto_no_translation;exp
douglas;douglas;10;auto_frequency,source_google,auto_no_translation;douglas
debian;debian;11;auto_frequency,source_google,auto_no_translation;debian
involving;involving;12;auto_frequency,source_google,auto_no_translation;involving
investing;investing;1;auto_frequency,source_google,auto_no_translation;investing
christopher;christopher;2;auto_frequency,source_google,auto_no_translation;christopher
epson;epson;3;auto_frequency,source_google,auto_no_translation;epson
elected;elected;4;auto_frequency,source_google,auto_no_translation;elected
carrying;carrying;5;auto_frequency,source_google,auto_no_translation;carrying
madison;madison;6;auto_frequency,source_google,auto_no_translation;madison
editions;editions;7;auto_frequency,source_google,auto_no_translation;editions
cpu;cpu;8;auto_frequency,source_google,auto_no_translation;cpu
ran;ran;9;auto_frequency,source_google,auto_no_translation;ran
finds;finds;10;auto_frequency,source_google,auto_no_translation;finds
situations;situations;11;auto_frequency,source_google,auto_no_translation;situations
allocated;allocated;12;auto_frequency,source_google,auto_no_translation;allocated
corrections;corrections;1;auto_frequency,source_google,auto_no_translation;corrections
describes;describes;2;auto_frequency,source_google,auto_no_translation;describes
sr;sr;3;auto_frequency,source_google,auto_no_translation;sr
occurs;occurs;4;auto_frequency,source_google,auto_no_translation;occurs
jon;jon;5;auto_frequency,source_google,auto_no_translation;jon
disabilities;disabilities;6;auto_frequency,source_google,auto_no_translation;disabilities
consists;consists;7;auto_frequency,source_google,auto_no_translation;consists
anytime;anytime;8;auto_frequency,source_google,auto_no_translation;anytime
prohibited;prohibited;9;auto_frequency,source_google,auto_no_translation;prohibited
addressed;addressed;10;auto_frequency,source_google,auto_no_translation;addressed
lies;lies;11;auto_frequency,source_google,auto_no_translation;lies
soldiers;soldiers;12;auto_frequency,source_google,auto_no_translation;soldiers
nr;nr;1;auto_frequency,source_google,auto_no_translation;nr
guardian;guardian;2;auto_frequency,source_google,auto_no_translation;guardian
initiatives;initiatives;3;auto_frequency,source_google,auto_no_translation;initiatives
classics;classics;4;auto_frequency,source_google,auto_no_translation;classics
lbs;lbs;5;auto_frequency,source_google,auto_no_translation;lbs
horses;horses;6;auto_frequency,source_google,auto_no_translation;horses
lol;lol;7;auto_frequency,source_google,auto_no_translation;lol
wayne;wayne;8;auto_frequency,source_google,auto_no_translation;wayne
taught;taught;9;auto_frequency,source_google,auto_no_translation;taught
bankruptcy;bankruptcy;10;auto_frequency,source_google,auto_no_translation;bankruptcy
mp;mp;11;auto_frequency,source_google,auto_no_translation;mp
optimization;optimization;12;auto_frequency,source_google,auto_no_translation;optimization
substances;substances;1;auto_frequency,source_google,auto_no_translation;substances
discovered;discovered;2;auto_frequency,source_google,auto_no_translation;discovered
wings;wings;3;auto_frequency,source_google,auto_no_translation;wings
breaks;breaks;4;auto_frequency,source_google,auto_no_translation;breaks
restrictions;restrictions;5;auto_frequency,source_google,auto_no_translation;restrictions
participating;participating;6;auto_frequency,source_google,auto_no_translation;participating
waters;waters;7;auto_frequency,source_google,auto_no_translation;waters
ridge;ridge;8;auto_frequency,source_google,auto_no_translation;ridge
modem;modem;9;auto_frequency,source_google,auto_no_translation;modem
harris;harris;10;auto_frequency,source_google,auto_no_translation;harris
mph;mph;11;auto_frequency,source_google,auto_no_translation;mph
bringing;bringing;12;auto_frequency,source_google,auto_no_translation;bringing
tiffany;tiffany;1;auto_frequency,source_google,auto_no_translation;tiffany
toyota;toyota;2;auto_frequency,source_google,auto_no_translation;toyota
streets;streets;3;auto_frequency,source_google,auto_no_translation;streets
vector;vector;4;auto_frequency,source_google,auto_no_translation;vector
shaved;shaved;5;auto_frequency,source_google,auto_no_translation;shaved
turning;turning;6;auto_frequency,source_google,auto_no_translation;turning
larry;larry;7;auto_frequency,source_google,auto_no_translation;larry
limousines;limousines;8;auto_frequency,source_google,auto_no_translation;limousines
developments;developments;9;auto_frequency,source_google,auto_no_translation;developments
def;def;10;auto_frequency,source_google,auto_no_translation;def
destinations;destinations;11;auto_frequency,source_google,auto_no_translation;destinations
lets;lets;12;auto_frequency,source_google,auto_no_translation;lets
syntax;syntax;1;auto_frequency,source_google,auto_no_translation;syntax
li;li;2;auto_frequency,source_google,auto_no_translation;li
chairs;chairs;3;auto_frequency,source_google,auto_no_translation;chairs
nl;nl;4;auto_frequency,source_google,auto_no_translation;nl
mountains;mountains;5;auto_frequency,source_google,auto_no_translation;mountains
moves;moves;6;auto_frequency,source_google,auto_no_translation;moves
inquiry;inquiry;7;auto_frequency,source_google,auto_no_translation;inquiry
ethernet;ethernet;8;auto_frequency,source_google,auto_no_translation;ethernet
checked;checked;9;auto_frequency,source_google,auto_no_translation;checked
sierra;sierra;10;auto_frequency,source_google,auto_no_translation;sierra
cats;cats;11;auto_frequency,source_google,auto_no_translation;cats
postposted;postposted;12;auto_frequency,source_google,auto_no_translation;postposted
ya;ya;1;auto_frequency,source_google,auto_no_translation;ya
oldest;oldest;2;auto_frequency,source_google,auto_no_translation;oldest
rhode;rhode;3;auto_frequency,source_google,auto_no_translation;rhode
nba;nba;4;auto_frequency,source_google,auto_no_translation;nba
busty;busty;5;auto_frequency,source_google,auto_no_translation;busty
mercury;mercury;6;auto_frequency,source_google,auto_no_translation;mercury
steven;steven;7;auto_frequency,source_google,auto_no_translation;steven
handbook;handbook;8;auto_frequency,source_google,auto_no_translation;handbook
greg;greg;9;auto_frequency,source_google,auto_no_translation;greg
navigate;navigate;10;auto_frequency,source_google,auto_no_translation;navigate
victims;victims;11;auto_frequency,source_google,auto_no_translation;victims
epa;epa;12;auto_frequency,source_google,auto_no_translation;epa
spaces;spaces;1;auto_frequency,source_google,auto_no_translation;spaces
burning;burning;2;auto_frequency,source_google,auto_no_translation;burning
coupons;coupons;3;auto_frequency,source_google,auto_no_translation;coupons
tr;tr;4;auto_frequency,source_google,auto_no_translation;tr
cialis;cialis;5;auto_frequency,source_google,auto_no_translation;cialis
bb;bb;6;auto_frequency,source_google,auto_no_translation;bb
boats;boats;7;auto_frequency,source_google,auto_no_translation;boats
scottish;scottish;8;auto_frequency,source_google,auto_no_translation;scottish
arcade;arcade;9;auto_frequency,source_google,auto_no_translation;arcade
richmond;richmond;10;auto_frequency,source_google,auto_no_translation;richmond
sacramento;sacramento;11;auto_frequency,source_google,auto_no_translation;sacramento
ron;ron;12;auto_frequency,source_google,auto_no_translation;ron
russell;russell;1;auto_frequency,source_google,auto_no_translation;russell
tells;tells;2;auto_frequency,source_google,auto_no_translation;tells
fiber;fiber;3;auto_frequency,source_google,auto_no_translation;fiber
graph;graph;4;auto_frequency,source_google,auto_no_translation;graph
covering;covering;5;auto_frequency,source_google,auto_no_translation;covering
platinum;platinum;6;auto_frequency,source_google,auto_no_translation;platinum
judgment;judgment;7;auto_frequency,source_google,auto_no_translation;judgment
bedrooms;bedrooms;8;auto_frequency,source_google,auto_no_translation;bedrooms
talks;talks;9;auto_frequency,source_google,auto_no_translation;talks
filing;filing;10;auto_frequency,source_google,auto_no_translation;filing
modeling;modeling;11;auto_frequency,source_google,auto_no_translation;modeling
awarded;awarded;12;auto_frequency,source_google,auto_no_translation;awarded
testimonials;testimonials;1;auto_frequency,source_google,auto_no_translation;testimonials
trials;trials;2;auto_frequency,source_google,auto_no_translation;trials
nz;nz;3;auto_frequency,source_google,auto_no_translation;nz
memorabilia;memorabilia;4;auto_frequency,source_google,auto_no_translation;memorabilia
clinton;clinton;5;auto_frequency,source_google,auto_no_translation;clinton
masters;masters;6;auto_frequency,source_google,auto_no_translation;masters
bonds;bonds;7;auto_frequency,source_google,auto_no_translation;bonds
cartridge;cartridge;8;auto_frequency,source_google,auto_no_translation;cartridge
alberta;alberta;9;auto_frequency,source_google,auto_no_translation;alberta
org;org;10;auto_frequency,source_google,auto_no_translation;org
commons;commons;11;auto_frequency,source_google,auto_no_translation;commons
cincinnati;cincinnati;12;auto_frequency,source_google,auto_no_translation;cincinnati
subsection;subsection;1;auto_frequency,source_google,auto_no_translation;subsection
permitted;permitted;2;auto_frequency,source_google,auto_no_translation;permitted
okay;okay;3;auto_frequency,source_google,auto_no_translation;okay
pottery;pottery;4;auto_frequency,source_google,auto_no_translation;pottery
roger;roger;5;auto_frequency,source_google,auto_no_translation;roger
awesome;awesome;6;auto_frequency,source_google,auto_no_translation;awesome
mexican;mexican;7;auto_frequency,source_google,auto_no_translation;mexican
confirmed;confirmed;8;auto_frequency,source_google,auto_no_translation;confirmed
counts;counts;9;auto_frequency,source_google,auto_no_translation;counts
priced;priced;10;auto_frequency,source_google,auto_no_translation;priced
wallpapers;wallpapers;11;auto_frequency,source_google,auto_no_translation;wallpapers
hist;hist;12;auto_frequency,source_google,auto_no_translation;hist
desired;desired;1;auto_frequency,source_google,auto_no_translation;desired
inter;inter;2;auto_frequency,source_google,auto_no_translation;inter
closer;closer;3;auto_frequency,source_google,auto_no_translation;closer
assumes;assumes;4;auto_frequency,source_google,auto_no_translation;assumes
heights;heights;5;auto_frequency,source_google,auto_no_translation;heights
riding;riding;6;auto_frequency,source_google,auto_no_translation;riding
firefox;firefox;7;auto_frequency,source_google,auto_no_translation;firefox
lisa;lisa;8;auto_frequency,source_google,auto_no_translation;lisa
grove;grove;9;auto_frequency,source_google,auto_no_translation;grove
eligibility;eligibility;10;auto_frequency,source_google,auto_no_translation;eligibility
korean;korean;11;auto_frequency,source_google,auto_no_translation;korean
healing;healing;12;auto_frequency,source_google,auto_no_translation;healing
mall;mall;1;auto_frequency,source_google,auto_no_translation;mall
entering;entering;2;auto_frequency,source_google,auto_no_translation;entering
spray;spray;3;auto_frequency,source_google,auto_no_translation;spray
studios;studios;4;auto_frequency,source_google,auto_no_translation;studios
buttons;buttons;5;auto_frequency,source_google,auto_no_translation;buttons
observations;observations;6;auto_frequency,source_google,auto_no_translation;observations
vbulletin;vbulletin;7;auto_frequency,source_google,auto_no_translation;vbulletin
funded;funded;8;auto_frequency,source_google,auto_no_translation;funded
thompson;thompson;9;auto_frequency,source_google,auto_no_translation;thompson
winners;winners;10;auto_frequency,source_google,auto_no_translation;winners
roads;roads;11;auto_frequency,source_google,auto_no_translation;roads
pat;pat;12;auto_frequency,source_google,auto_no_translation;pat
dublin;dublin;1;auto_frequency,source_google,auto_no_translation;dublin
rolling;rolling;2;auto_frequency,source_google,auto_no_translation;rolling
fell;fell;3;auto_frequency,source_google,auto_no_translation;fell
memories;memories;4;auto_frequency,source_google,auto_no_translation;memories
nelson;nelson;5;auto_frequency,source_google,auto_no_translation;nelson
te;te;6;auto_frequency,source_google,auto_no_translation;te
arrived;arrived;7;auto_frequency,source_google,auto_no_translation;arrived
creates;creates;8;auto_frequency,source_google,auto_no_translation;creates
faces;faces;9;auto_frequency,source_google,auto_no_translation;faces
cocks;cocks;10;auto_frequency,source_google,auto_no_translation;cocks
av;av;11;auto_frequency,source_google,auto_no_translation;av
sean;sean;12;auto_frequency,source_google,auto_no_translation;sean
presentations;presentations;1;auto_frequency,source_google,auto_no_translation;presentations
grades;grades;2;auto_frequency,source_google,auto_no_translation;grades
cartoons;cartoons;3;auto_frequency,source_google,auto_no_translation;cartoons
digest;digest;4;auto_frequency,source_google,auto_no_translation;digest
reg;reg;5;auto_frequency,source_google,auto_no_translation;reg
lodging;lodging;6;auto_frequency,source_google,auto_no_translation;lodging
tion;tion;7;auto_frequency,source_google,auto_no_translation;tion
wiki;wiki;8;auto_frequency,source_google,auto_no_translation;wiki
replaced;replaced;9;auto_frequency,source_google,auto_no_translation;replaced
losses;losses;10;auto_frequency,source_google,auto_no_translation;losses
reducing;reducing;11;auto_frequency,source_google,auto_no_translation;reducing
stopped;stopped;12;auto_frequency,source_google,auto_no_translation;stopped
lakes;lakes;1;auto_frequency,source_google,auto_no_translation;lakes
butt;butt;2;auto_frequency,source_google,auto_no_translation;butt
donations;donations;3;auto_frequency,source_google,auto_no_translation;donations
associations;associations;4;auto_frequency,source_google,auto_no_translation;associations
citysearch;citysearch;5;auto_frequency,source_google,auto_no_translation;citysearch
kings;kings;6;auto_frequency,source_google,auto_no_translation;kings
kent;kent;7;auto_frequency,source_google,auto_no_translation;kent
adds;adds;8;auto_frequency,source_google,auto_no_translation;adds
nsw;nsw;9;auto_frequency,source_google,auto_no_translation;nsw
flags;flags;10;auto_frequency,source_google,auto_no_translation;flags
pci;pci;11;auto_frequency,source_google,auto_no_translation;pci
baker;baker;12;auto_frequency,source_google,auto_no_translation;baker
launched;launched;1;auto_frequency,source_google,auto_no_translation;launched
guestbook;guestbook;2;auto_frequency,source_google,auto_no_translation;guestbook
walls;walls;3;auto_frequency,source_google,auto_no_translation;walls
ebony;ebony;4;auto_frequency,source_google,auto_no_translation;ebony
drawn;drawn;5;auto_frequency,source_google,auto_no_translation;drawn
arthur;arthur;6;auto_frequency,source_google,auto_no_translation;arthur
ian;ian;7;auto_frequency,source_google,auto_no_translation;ian
visited;visited;8;auto_frequency,source_google,auto_no_translation;visited
walker;walker;9;auto_frequency,source_google,auto_no_translation;walker
suggests;suggests;10;auto_frequency,source_google,auto_no_translation;suggests
ra;ra;11;auto_frequency,source_google,auto_no_translation;ra
operated;operated;12;auto_frequency,source_google,auto_no_translation;operated
targets;targets;1;auto_frequency,source_google,auto_no_translation;targets
purchases;purchases;2;auto_frequency,source_google,auto_no_translation;purchases
dodge;dodge;3;auto_frequency,source_google,auto_no_translation;dodge
counsel;counsel;4;auto_frequency,source_google,auto_no_translation;counsel
federation;federation;5;auto_frequency,source_google,auto_no_translation;federation
pizza;pizza;6;auto_frequency,source_google,auto_no_translation;pizza
invited;invited;7;auto_frequency,source_google,auto_no_translation;invited
yards;yards;8;auto_frequency,source_google,auto_no_translation;yards
chemicals;chemicals;9;auto_frequency,source_google,auto_no_translation;chemicals
gordon;gordon;10;auto_frequency,source_google,auto_no_translation;gordon
mod;mod;11;auto_frequency,source_google,auto_no_translation;mod
farmers;farmers;12;auto_frequency,source_google,auto_no_translation;farmers
rc;rc;1;auto_frequency,source_google,auto_no_translation;rc
queries;queries;2;auto_frequency,source_google,auto_no_translation;queries
bmw;bmw;3;auto_frequency,source_google,auto_no_translation;bmw
ukraine;ukraine;4;auto_frequency,source_google,auto_no_translation;ukraine
nearest;nearest;5;auto_frequency,source_google,auto_no_translation;nearest
vendors;vendors;6;auto_frequency,source_google,auto_no_translation;vendors
mpeg;mpeg;7;auto_frequency,source_google,auto_no_translation;mpeg
yoga;yoga;8;auto_frequency,source_google,auto_no_translation;yoga
serves;serves;9;auto_frequency,source_google,auto_no_translation;serves
woods;woods;10;auto_frequency,source_google,auto_no_translation;woods
rico;rico;11;auto_frequency,source_google,auto_no_translation;rico
shoppers;shoppers;12;auto_frequency,source_google,auto_no_translation;shoppers
phil;phil;1;auto_frequency,source_google,auto_no_translation;phil
couples;couples;2;auto_frequency,source_google,auto_no_translation;couples
nashville;nashville;3;auto_frequency,source_google,auto_no_translation;nashville
jokes;jokes;4;auto_frequency,source_google,auto_no_translation;jokes
cst;cst;5;auto_frequency,source_google,auto_no_translation;cst
http;http;6;auto_frequency,source_google,auto_no_translation;http
ceo;ceo;7;auto_frequency,source_google,auto_no_translation;ceo
simpson;simpson;8;auto_frequency,source_google,auto_no_translation;simpson
twiki;twiki;9;auto_frequency,source_google,auto_no_translation;twiki
sublime;sublime;10;auto_frequency,source_google,auto_no_translation;sublime
counseling;counseling;11;auto_frequency,source_google,auto_no_translation;counseling
wins;wins;12;auto_frequency,source_google,auto_no_translation;wins
measurements;measurements;1;auto_frequency,source_google,auto_no_translation;measurements
trusted;trusted;2;auto_frequency,source_google,auto_no_translation;trusted
milwaukee;milwaukee;3;auto_frequency,source_google,auto_no_translation;milwaukee
rack;rack;4;auto_frequency,source_google,auto_no_translation;rack
shareware;shareware;5;auto_frequency,source_google,auto_no_translation;shareware
ec;ec;6;auto_frequency,source_google,auto_no_translation;ec
rep;rep;7;auto_frequency,source_google,auto_no_translation;rep
dicke;dicke;8;auto_frequency,source_google,auto_no_translation;dicke
kerry;kerry;9;auto_frequency,source_google,auto_no_translation;kerry
supposed;supposed;10;auto_frequency,source_google,auto_no_translation;supposed
configure;configure;11;auto_frequency,source_google,auto_no_translation;configure
mit;mit;12;auto_frequency,source_google,auto_no_translation;mit
applying;applying;1;auto_frequency,source_google,auto_no_translation;applying
southwest;southwest;2;auto_frequency,source_google,auto_no_translation;southwest
expectations;expectations;3;auto_frequency,source_google,auto_no_translation;expectations
knowing;knowing;4;auto_frequency,source_google,auto_no_translation;knowing
metabolism;metabolism;5;auto_frequency,source_google,auto_no_translation;metabolism
keith;keith;6;auto_frequency,source_google,auto_no_translation;keith
cloudy;cloudy;7;auto_frequency,source_google,auto_no_translation;cloudy
linda;linda;8;auto_frequency,source_google,auto_no_translation;linda
ross;ross;9;auto_frequency,source_google,auto_no_translation;ross
chile;chile;10;auto_frequency,source_google,auto_no_translation;chile
anna;anna;11;auto_frequency,source_google,auto_no_translation;anna
maria;maria;12;auto_frequency,source_google,auto_no_translation;maria
rm;rm;1;auto_frequency,source_google,auto_no_translation;rm
attributes;attributes;2;auto_frequency,source_google,auto_no_translation;attributes
brass;brass;3;auto_frequency,source_google,auto_no_translation;brass
writes;writes;4;auto_frequency,source_google,auto_no_translation;writes
plaza;plaza;5;auto_frequency,source_google,auto_no_translation;plaza
pdas;pdas;6;auto_frequency,source_google,auto_no_translation;pdas
outcomes;outcomes;7;auto_frequency,source_google,auto_no_translation;outcomes
sri;sri;8;auto_frequency,source_google,auto_no_translation;sri
thumbnail;thumbnail;9;auto_frequency,source_google,auto_no_translation;thumbnail
trans;trans;10;auto_frequency,source_google,auto_no_translation;trans
jonathan;jonathan;11;auto_frequency,source_google,auto_no_translation;jonathan
nova;nova;12;auto_frequency,source_google,auto_no_translation;nova
api;api;1;auto_frequency,source_google,auto_no_translation;api
booty;booty;2;auto_frequency,source_google,auto_no_translation;booty
forgotten;forgotten;3;auto_frequency,source_google,auto_no_translation;forgotten
acrobat;acrobat;4;auto_frequency,source_google,auto_no_translation;acrobat
plates;plates;5;auto_frequency,source_google,auto_no_translation;plates
acres;acres;6;auto_frequency,source_google,auto_no_translation;acres
athletic;athletic;7;auto_frequency,source_google,auto_no_translation;athletic
thermal;thermal;8;auto_frequency,source_google,auto_no_translation;thermal
essays;essays;9;auto_frequency,source_google,auto_no_translation;essays
telling;telling;10;auto_frequency,source_google,auto_no_translation;telling
config;config;11;auto_frequency,source_google,auto_no_translation;config
cf;cf;12;auto_frequency,source_google,auto_no_translation;cf
edinburgh;edinburgh;1;auto_frequency,source_google,auto_no_translation;edinburgh
vt;vt;2;auto_frequency,source_google,auto_no_translation;vt
excel;excel;3;auto_frequency,source_google,auto_no_translation;excel
modes;modes;4;auto_frequency,source_google,auto_no_translation;modes
campbell;campbell;5;auto_frequency,source_google,auto_no_translation;campbell
harbor;harbor;6;auto_frequency,source_google,auto_no_translation;harbor
hungary;hungary;7;auto_frequency,source_google,auto_no_translation;hungary
traveler;traveler;8;auto_frequency,source_google,auto_no_translation;traveler
